epoch,train_loss,train_acc,val_loss,val_acc,elapsed_s
1,1.134758,0.557361,2.037292,0.582222,3.5
2,0.782695,0.714149,0.980763,0.733333,3.1
3,0.612469,0.783939,0.568877,0.777778,3.1
4,0.473086,0.833652,0.562268,0.791111,3.3
5,0.419475,0.846080,0.546716,0.817778,3.1
6,0.339050,0.873805,0.711210,0.777778,3.1
7,0.286387,0.898662,0.821576,0.804444,3.1
8,0.346754,0.873805,0.367889,0.884444,3.1
9,0.274355,0.906310,0.566251,0.848889,3.2
10,0.287220,0.893881,0.370362,0.902222,3.4
11,0.341463,0.886233,0.639999,0.720000,3.2
12,0.301466,0.888145,0.425873,0.884444,3.4
13,0.212101,0.919694,0.240215,0.937778,3.3
14,0.157718,0.940727,0.200389,0.955556,3.2
15,0.184293,0.931166,0.277179,0.893333,3.2
16,0.170192,0.942639,0.385232,0.880000,3.3
17,0.187013,0.940727,0.406784,0.906667,3.3
18,0.173255,0.935946,0.320949,0.888889,3.3
19,0.143207,0.956023,0.138506,0.951111,3.4
20,0.090326,0.965583,0.180401,0.951111,3.4
21,0.063204,0.982792,0.288930,0.946667,3.2
22,0.075419,0.969407,0.168646,0.964444,3.3
23,0.092035,0.968451,0.160688,0.977778,3.3
24,0.085347,0.974187,0.101312,0.968889,3.2
25,0.073491,0.977055,0.108545,0.968889,3.4
26,0.053354,0.983748,0.145249,0.955556,3.2
27,0.067674,0.975143,0.170837,0.964444,3.2
28,0.052218,0.980880,0.157476,0.968889,3.2
29,0.040645,0.989484,0.089757,0.973333,3.2
30,0.043466,0.985660,0.116382,0.977778,3.1
31,0.032697,0.989484,0.145221,0.973333,3.3
32,0.030415,0.992352,0.099057,0.986667,3.2
33,0.017046,0.994264,0.120909,0.982222,3.2
34,0.021666,0.993308,0.150052,0.968889,3.1
35,0.019885,0.993308,0.124220,0.986667,3.2
36,0.020339,0.992352,0.119376,0.982222,3.2
37,0.016166,0.996176,0.123065,0.986667,3.2
38,0.019581,0.997132,0.135776,0.982222,3.1
39,0.013950,0.995220,0.137742,0.977778,3.1
